*Customers / Projects,*Customers / Projects,ERNSTINGS_FAMILY,SAP HCM Consulting_Onsite,,,,,,,,,SAP HCM Consulting_Onsite,,,N
*Customers / Projects,*Customers / Projects,ERNSTINGS_FAMILY,SAP HCM Consulting_Remote,,,,,,,,,SAP HCM Consulting_Remote,,,N
*Customers / Projects,*Customers / Projects,ERPS_AAS,,,,,,,,,,ERPS_AAS,,,N
*Customers / Projects,*Customers / Projects,ERPS_AAS,AAS,,,,,,,,,AAS,,,N
*Customers / Projects,*Customers / Projects,ERPS_AON,,,,,,,,,,ERPS_AON,,,N
*Customers / Projects,*Customers / Projects,ERPS_AON,AON,,,,,,,,,AON,,,N
*Customers / Projects,*Customers / Projects,ERPS_ARTOZ,,,,,,,,,,ERPS_ARTOZ,,,N
*Customers / Projects,*Customers / Projects,ERPS_ARTOZ,Artoz Papier,,,,,,,,,Artoz Papier,,,N
*Customers / Projects,*Customers / Projects,ERPS_AVENIQ,,,,,,,,,,ERPS_AVENIQ,,,N
*Customers / Projects,*Customers / Projects,ERPS_AVENIQ,ERPSourcing,,,,,,,,,ERPSourcing,,,N
*Customers / Projects,*Customers / Projects,ERPS_BÄR,,,,,,,,,,ERPS_BÄR,,,N
*Customers / Projects,*Customers / Projects,ERPS_BÄR,Bär Bahnsicherung,,,,,,,,,Bär Bahnsicherung,,,N
*Customers / Projects,*Customers / Projects,ERPS_BASILEA,,,,,,,,,,ERPS_BASILEA,,,N
*Customers / Projects,*Customers / Projects,ERPS_BASILEA,Basilea,,,,,,,,,Basilea,,,N
*Customers / Projects,*Customers / Projects,ERPS_CAPITAL_DYNAMICS,,,,,,,,,,ERPS_CAPITAL_DYNAMICS,,,N
*Customers / Projects,*Customers / Projects,ERPS_CAPITAL_DYNAMICS,Capital Dynamics,,,,,,,,,Capital Dynamics,,,N
*Customers / Projects,*Customers / Projects,ERPS_COLLANO,,,,,,,,,,ERPS_COLLANO,,,N
*Customers / Projects,*Customers / Projects,ERPS_COLLANO,Collano,,,,,,,,,Collano,,,N
*Customers / Projects,*Customers / Projects,ERPS_ECOLAB,,,,,,,,,,ERPS_ECOLAB,,,N
*Customers / Projects,*Customers / Projects,ERPS_ECOLAB,Ecolab,,,,,,,,,Ecolab,,,N
*Customers / Projects,*Customers / Projects,ERPS_EMCH,,,,,,,,,,ERPS_EMCH,,,N
*Customers / Projects,*Customers / Projects,ERPS_EMCH,EMCH,,,,,,,,,EMCH,,,N
*Customers / Projects,*Customers / Projects,ERPS_EMERELL,,,,,,,,,,ERPS_EMERELL,,,N
*Customers / Projects,*Customers / Projects,ERPS_EMERELL,Emerell,,,,,,,,,Emerell,,,N
*Customers / Projects,*Customers / Projects,ERPS_ERNI,,,,,,,,,,ERPS_ERNI,,,N
*Customers / Projects,*Customers / Projects,ERPS_ERNI,ERNI Electronics,,,,,,,,,ERNI Electronics,,,N
*Customers / Projects,*Customers / Projects,ERPS_ETHOS,,,,,,,,,,ERPS_ETHOS,,,N
*Customers / Projects,*Customers / Projects,ERPS_ETHOS,EthosEnergy,,,,,,,,,EthosEnergy,,,N
*Customers / Projects,*Customers / Projects,ERPS_EY,,,,,,,,,,ERPS_EY,,,Y
*Customers / Projects,*Customers / Projects,ERPS_EY,EY,,,,,,,,,EY,,,N
*Customers / Projects,*Customers / Projects,ERPS_EY_BARCLAYS,,,,,,,,,,ERPS_EY_BARCLAYS,,,N
*Customers / Projects,*Customers / Projects,ERPS_EY_BARCLAYS,EY / Barclays,,,,,,,,,EY / Barclays,,,N
*Customers / Projects,*Customers / Projects,ERPS_EY_MICROSOFT,,,,,,,,,,ERPS_EY_MICROSOFT,,,N
